name,token,type,batch,address,image
Corgi Intern #6,62,side,Batch 3,0xeb7846ad58fbdac651830d5370a94488c06f282d,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_62.jpg
Corgi Intern #7,63,side,Batch 3,0x5a56e9ab6303794224ff8ab1c14bf2a5c26505bc,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_63.jpg
Corgi Intern #8,64,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_64.jpg
Corgi Intern #9,65,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_65.jpg
Corgi Intern #10,66,side,Batch 3,0xeeb072ecbe68bd123888a60cafd4c8c4fa02c65b,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_66.jpg
Corgi Intern #11,67,side,Batch 3,0xd473781816837c7cd2fadc34e66f09786d2e2694,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_67.jpg
Corgi Intern #12,68,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_68.jpg
Corgi Intern #13,69,side,Batch 3,0x76ae34750143643afd66d09304f3009952afcf95,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_69.jpg
Corgi Intern #14,70,side,Batch 3,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_70.jpg
Corgi Intern #15,71,side,Batch 3,0x6ffbb6c376d0cf590289671d652ae92213614828,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_71.jpg
Corgi Intern #16,72,side,Batch 3,0x0c1c28ada4f896fcd6abe8aa25d1798af869adcc,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_72.jpg
Corgi Intern #17,73,side,Batch 3,0x33c832bbdccd3188b0ec369e27bfd2164cb039fe,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_73.jpg
Corgi Intern #18,74,side,Batch 3,0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_74.jpg
Corgi Intern #19,75,side,Batch 3,0x6f37b3a5d857ad7388e073ac2f21b313aa554c7a,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_75.jpg
Corgi Intern #20,76,side,Batch 3,0xfb1da3e12a54d9d4036f969049fd58c97c6d00b2,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_76.jpg
Corgi Intern #21,77,side,Batch 3,0x3327073bf46a6f38a23b83954d5a85b047585fde,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_77.jpg
Corgi Intern #22,78,side,Batch 3,0x6f37b3a5d857ad7388e073ac2f21b313aa554c7a,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_78.jpg
Corgi Intern #23,79,side,Batch 3,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_79.jpg
Bosch Corgi,80,main,,0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_80.jpg
Spirit of Corgi,81,main,,0x90c41319d32b488b0d27b022c553755d9785d3d4,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_81.jpg
Captain Corgi,82,main,,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_82.jpg
CorgiVee,83,main,,0xd473781816837c7cd2fadc34e66f09786d2e2694,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_83.jpg
Interstellar Corgi,84,main,,0xf99c8873b972b4192e789f55ab954188d0d9a133,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_84.jpg
